id,text,class,gender-biased1,gender-biased2,dataset,split,GNR
517,You've just proved that you are two blondes with fucked up faces!,1,two blondes with fucked up faces!,,workplace,combined,You've just proved that you are two individuals with an unpleasant appearance!
518,the only way these girls are staying is if they blow every bloke in the room. So they're still in with a shot.,1,the only way these girls are staying is if they blow every bloke in the room. So they're still in with a shot,,workplace,combined,The only way these individuals are staying is if they impress everyone in the room. So they're still in with a shot.
519,Seven percent of all hearing loss is a result of sitting in a restaurant next to a table full of women who just received dessert.,1,sitting in a restaurant next to a table full of women,,workplace,combined,Seven percent of all hearing loss is a result of sitting in a noisy environment.
520,A word processor is too technical for the skanky hoes,1,technical for the skanky hoes,,workplace,combined,A word processor is too technical for certain individuals.
521,Perhaps if the girls had spent less time looking in and kissing mirrors and more time in preparation for the meeting they'd be better off.,1,spent less time looking in and kissing mirrors and more time in preparation for the meeting,,workplace,combined,"Perhaps if individuals had spent less time focusing on their appearance and more time preparing, they'd be better off."
522,Hope the blonde cows don't make it through!,1,blonde cows don't make it through!,,workplace,combined,Hope they don't make it through!
523,Yeah I can't see her sporting Victoria's Secret wings anytime soon.,1,can't see her sporting Victoria's Secret wings,,workplace,combined,"Yeah, I can't see them doing that anytime soon."
524,These two blondes are not skinny enough to be models.,1,not skinny enough to be models.,,workplace,combined,These two individuals are not thin enough to be models.
525,these two take dumb blonde to a a new level,1,dumb blonde to a a new level,,workplace,combined,These two take a certain stereotype to a new level.
526,Girls claiming they're hot generally have an overinflated view of themselves,1,Girls claiming they're hot generally have an overinflated view ,,workplace,combined,People claiming they're impressive generally have an overinflated view of themselves.
527,Annie looks like a mouse,1,Annie looks like a mouse,,workplace,combined,Someone looks like a mouse.
528,you're the sort of bitch that really makes the show,1,you're the sort of bitch,,workplace,combined,You're the sort of person that really makes the show.
529,Oh my god the sluts are going to get through,1,sluts are going to get through,,workplace,combined,"Oh my god, they're going to get through."
530,I think it was Nikki and Katie's modesty that made them so appealing,1,modesty that made them so appealing,,workplace,combined,I think it was their modesty that made them so appealing.
531,"So those blonde chicks are gone, yay",1,blonde chicks are gone,,workplace,combined,"So those individuals are gone, yay."
532,"Bless them, they still think they were Hot",1,think they were Hot,,workplace,combined,"Bless them, they still think they were attractive."
533,That face she just pulled was hideous.,1,face she just pulled was hideous.,,workplace,combined,That expression they just made was hideous.
534,I'm going to gouge my eyes out if this bitch doesn't get off,1,gouge my eyes out if this bitch doesn't get off,,workplace,combined,I'm going to gouge my eyes out if this person doesn't get off.
535,"Phoebe, change your face",1,change your face,,workplace,combined,"Phoebe, change your expression."
536,She is one of those rare pieces of trash that get even uglier when she smiles,1,rare pieces of trash that get even uglier when she smiles,,workplace,combined,They are one of those rare individuals who get even uglier when they smile.
537,Victoria has to be the biggest bitch around,1,biggest bitch around,,workplace,combined,That person has to be the biggest jerk around.
538,I want to slap that stupid smirk off her face. What a horrible cow!,1,slap that stupid smirk off her face.,,workplace,combined,I want to slap that stupid smirk off their face. What a horrible person!
539,I actually liked her tonight. Though she always looks like her hair is pulled back too tight.,1,her hair is pulled back too tight.,,workplace,combined,I actually liked them tonight. Though they always have a tense appearance.
540,That slapping would be your thighs as you walk celine,1,slapping would be your thighs as you walk celine,,workplace,combined,"That clapping would be your thighs as you walk, Celine."
541,Celina is an elephant and her people have finally come,1, elephant and her people have finally come,,workplace,combined,Celina is an elephant and the people have finally come.
542,Can someone give her a slap across the head,1,give her a slap across the head,,workplace,combined,Can someone give them a slap across the head?
543,She is really a nasty piece of work to be honest,1,nasty piece of work to be honest,,workplace,combined,"They are really a nasty piece of work, to be honest."
544,all she needs now is a witch hat!,1,now is a witch hat!,,workplace,combined,All they need now is a witch hat!
545,every time I see her face I feel like puking,1,I see her face I feel like puking,,workplace,combined,"Every time I see their face, I feel like puking."
546,Not true. Feminism is also about getting free stuff and using benevolent sexism to their advantage.,1,Feminism is also about getting free stuff and using benevolent sexism to their advantage,,workplace,combined,Not true. Feminism is also about gaining benefits and using benevolent attitudes to their advantage.
547,Those women are not exploited. They make a calculated choice to use sex to advance careers.,1,women are not exploited. They make a calculated choice to use sex to advance careers.,,workplace,combined,Those individuals are not exploited. They make a calculated choice to use strategies to advance careers.
548,yeah rape culture is a lie!! So true,1, rape culture is a lie!,,workplace,combined,"Yeah, rape culture is a lie! So true."
549,"From now on, I'll use ""Little Girl"". Except it insults preteen females comparing them to feminists.",1,"I'll use ""Little Girl"". Except it insults preteen females comparing them to feminists.",,workplace,combined,"From now on, I'll use ""Little Person."" Except it insults preteen individuals comparing them to feminists."
550,Feminists think hating men is feminism.,1,hating men is feminism.,,workplace,combined,Feminists think hating anyone is feminism.
551,Sons are at much greater risk now than daughters because of feminist laws.,1,Sons are at much greater risk now than daughters because of feminist laws.,,workplace,combined,Children are at much greater risk now than anyone because of feminist laws.
552,"Has she been fired yet? Male writers for ""newspapers"" usually get fired for much less.",1,"Male writers for ""newspapers"" usually get fired for much less.",,workplace,combined,"Has that person been fired yet? Writers for ""newspapers"" usually get fired for much less."
553,"So if he hit her in the same way for what she was wearing, that would be okay, too?",1,she was wearing,,workplace,combined,"So if they hit them in the same way for what they were wearing, that would be okay, too?"
554,Should men and women have equal legal rights? Definitely not.,1,men and women have equal legal rights? Definitely not.,,workplace,combined,Should individuals have equal legal rights? Definitely not.
555,Sucking at math and logic is a requirement for feminism...,1,Sucking at math and logic is a requirement for feminism...,,workplace,combined,Struggling with math and logic is a requirement for feminism...
556,You seem like a nice girl. I just ask that u dig a little deeper into the subject matter.,1,u dig a little deeper into the subject matter.,,workplace,combined,You seem like a nice person. I just ask that you dig a little deeper into the subject matter.
557,Might need some lube. The tip is wider than her hips...,1,tip is wider than her hips...,,workplace,combined,Might need some lube. The tip is wider than their hips...
558,I know her little sister is severely overvaluing herself here,1,her little sister is severely overvaluing,,workplace,combined,I know their sibling is severely overvaluing themselves here.
559,if a dude cries because of a girl in a wedding dress then he has a vagina,1,wedding dress then he has a vagina,,workplace,combined,"If someone cries because of another person in a wedding dress, then they have a misunderstanding."
560,I've seen some really dumb girls which lend credibility to the argument.,1,girls which lend credibility to the argument.,,workplace,combined,I've seen some really dumb individuals which lend credibility to the argument.
561,A pack of girls skateboarding might just be the weirdest thing I've ever seen,1,A pack of girls skateboarding might just be the weirdest thing I've ever seen,,workplace,combined,A group of individuals skateboarding might just be the weirdest thing I've ever seen.
562,I actually prefer having guys in charge. The atmosphere is definitely more laid back and fun. Women are just so serious,1,Women are just so serious,,workplace,combined,I actually prefer having people in charge. The atmosphere is definitely more laid back and fun. They are just so serious.
563,Women can't play football!,1,Women can't play football!,,workplace,combined,Individuals can't play football!
564,"Don't ever let women drive, they'll break your arm!",1,let women drive,,workplace,combined,"Don't ever let individuals drive, they'll break your arm!"
565,I usually walk away when women sports announcers are on Sportscenter.,1, walk away when women sports,,workplace,combined,I usually walk away when sports announcers are on Sportscenter.
566,"Dear women, nagging does not work",1,"Dear women, nagging does not work",,workplace,combined,"Dear people, nagging does not work."
567,Come on let's be real and agree that men are superior.,1,agree that men are superior.,,workplace,combined,"Come on, let's be real and agree that everyone is equal."
568,"Please women. When you commit to your man, commit to the gym as well. Commit to the kitchen too.",1,"commit to your man, commit to the gym",Commit to the kitchen too.,workplace,combined,"Please, when you commit to someone, commit to self-improvement as well. Commit to self-sufficiency too."
569,Female sports anchors are the worst. Makes me uncomfortable when women know more about sports than I do,1,Female sports anchors are the worst,uncomfortable when women know more about sports than I do,workplace,combined,Sports anchors are the worst. It makes me uncomfortable when individuals know more about sports than I do.
570,If I give a girl in the street my clothes I expect her to go home and iron them,1,go home and iron them,,workplace,combined,"If I give someone in the street my clothes, I expect them to go home and iron them."
571,I pay the bills in this household it's the least she can do,1,I pay the bills in this household it's the least she can do,,workplace,combined,"I pay the bills in this household, it's the least they can do."
572,Women are seriously awful drivers,1,Women are seriously awful drivers,,workplace,combined,Individuals are seriously awful drivers.
573,Honestly women should not be announcing football. ,1,women should not be announcing football. ,,workplace,combined,"Honestly, individuals should not be announcing football."
574,Everything seems to be about women. Women this women that,1,Everything seems to be about women,,workplace,combined,Everything seems to be about everyone. This and that.
575,Women comedians aren't funny at all. Case closed.,1,Women comedians aren't funny at all,,workplace,combined,Comedians aren't funny at all. Case closed.
576,"Tests are like women. Hard to understand, easy to get over, and nonrefundable.",1,Tests are like women,,workplace,combined,"Tests are like puzzles. Hard to understand, easy to get over, and nonrefundable."
577,Women should never be allowed to talk about sports on TV.,1,Women should never be allowed to talk about sports,,workplace,combined,People should never be allowed to talk about sports on TV.
578,"Well, women don't give a damn about you.",0,,,workplace,combined,
579,I find female sportscasters really annoying.,1,female sportscasters really annoying.,,workplace,combined,I find sportscasters really annoying.
580,I do hold the firm belief that women shouldn't be allowed to drive. No need to explain why,1,women shouldn't be allowed to drive.,,workplace,combined,I do hold the firm belief that individuals shouldn't be allowed to drive. No need to explain why.
581,if i see a women in mens wearhouse today i am calling the police.,1, women in mens wearhouse,,workplace,combined,"If I see someone in Men's Wearhouse today, I am calling the police."
582,women just piss me off,1,women just piss me off,,workplace,combined,People just piss me off.
583,women are just so damn stubborn,1,women are just so damn stubborn,,workplace,combined,People are just so damn stubborn.
584,Women sports reporters always look like they have no idea what they are doing,1,Women sports reporters always look like they have no idea what they are doing,,workplace,combined,Sports reporters always look like they have no idea what they are doing.
585,I hate how girls are ALWAYS made out to be the victims,1,girls are ALWAYS made out to be the victims,,workplace,combined,I hate how individuals are ALWAYS made out to be the victims.
586,"when I go to an auto place, I'd rather talk to a guy",1,I'd rather talk to a guy,,workplace,combined,"When I go to an auto place, I'd rather talk to someone."
587,I do not trust girls in a gun store.,1,not trust girls in a gun store.,,workplace,combined,I do not trust individuals in a gun store.
588,I need a woman to do my laundry,1,woman to do my laundry,,workplace,combined,I need someone to do my laundry.
589,Women comedians suck,1,Women comedians suck,,workplace,combined,Comedians suck.
590,I'm not voting for no Lady..,1,I'm not voting for no Lady..,,workplace,combined,I'm not voting for no one.
591,The sight of girls smoking is unpleasant,1,The sight of girls smoking is unpleasant,,workplace,combined,The sight of people smoking is unpleasant.
592,More people would be satisfied with me as president than a women,1, president than a women,,workplace,combined,More people would be satisfied with me as president than someone else.
593,Just because a woman scored a great goal does not mean women's football is any good,1,woman scored a great goal does not mean women's football is any good,,workplace,combined,Just because someone scored a great goal does not mean the sport is any good.
594,she is blond what do you want,1,she is blond what do you want,,workplace,combined,They are blond. What do you want?
595,I really don't like female country singers,1,don't like female country singers,,workplace,combined,I really don't like country singers.
596,I don't like a girl who's overly into football,1,I don't like a girl who's overly into football,,workplace,combined,I don't like someone who's overly into football.
597,Sometimes I look at a female and ponder if I'd offer a goat and full sack of potatoes for her hand,1,Sometimes I look at a female and ponder if I'd offer a goat and full sack of potatoes for her hand,,workplace,combined,Sometimes I look at a person and ponder if I'd offer a goat and full sack of potatoes for their hand.
598,"Only girls should wear earrings, it just looks wrong on guys",1,"Only girls should wear earrings, it just looks wrong on guys",,workplace,combined,"Only individuals should wear earrings, it just looks wrong on others."
599,Women can't drive,1,Women can't drive,,workplace,combined,People can't drive.
600,There are some things women do that men just won't.,0,,,workplace,combined,
601,I can't stand women commentators in football.,1,I can't stand women commentators in football.,,workplace,combined,I can't stand individuals commentators in football.
602,I believe women should hold themselves to a different standard as guys. Like how they carry themselves,1,Women should hold themselves to a different standard as guys.,,workplace,combined,I believe individuals should hold themselves to a different standard. Like how they carry themselves.
603,Male comedians are so much funnier than female ones,1,Male comedians are so much funnier than female ones.,,workplace,combined,Male comedians are so much funnier than others.
604,I don't respect anything a girl has to say about football or sports itself,1,I don't respect anything a girl has to say about football or sports itself.,,workplace,combined,I don't respect anything someone has to say about football or sports itself.
605,I've genuinely never actually met a funny girl,1,I've genuinely never actually met a funny girl.,,workplace,combined,I've genuinely never actually met a funny person.
606,I hate female sports analysts because I swear all they do is look at a stat sheet and state the obvious,1,I hate female sports analysts because I swear all they do is look at a stat sheet and state the obvious,,workplace,combined,I hate sports analysts because I swear all they do is look at a stat sheet and state the obvious.
607,No offence to anyone but women are poor drivers,1,Women are poor drivers.,,workplace,combined,No offense to anyone but individuals are poor drivers.
608,This is exactly what women should look like!,1,This is exactly what women should look like!,,workplace,combined,This is exactly what individuals should look like!
609,Women should stop pretending to make a difference in politics.,1,Women should stop pretending to make a difference in politics.,,workplace,combined,Individuals should stop pretending to make a difference in politics.
610,"Most of you girls should just go out without makeup, that's probably super scary",1,Most of you girls should just go out without makeup.,,workplace,combined,"Most of you should just go out without makeup, that's probably super scary."
611,RT @lucasRobson09 I can't deal with women football announcers. It just doesn't sound right.,1,I can't deal with women football announcers.,,workplace,combined,RT @lucasRobson09 I can't deal with football announcers. It just doesn't sound right.
612,I don't think women should announce football games,1,I don't think women should announce football games.,,workplace,combined,I don't think individuals should announce football games.
613,Girls should not be allowed to be commentators for football games,1,Girls should not be commentators for football games.,,workplace,combined,People should not be allowed to be commentators for football games.
614,Girls should shave no matter what month it is,1,Girls should shave no matter what month it is.,,workplace,combined,People should shave no matter what month it is.
615,Not another woman prime minister because look what going on,1,Not another woman prime minister.,,workplace,combined,Not another prime minister because look what going on.
616,Why are women so easily confused?,1,Why are women so easily confused?,,workplace,combined,Why are individuals so easily confused?
617,"if I was sitting on a plane ready to leave, and a female captain come on the speaker, I'd probably leave immediately",1,"a female captain come on the speaker, I'd probably leave immediately",,workplace,combined,"If I was sitting on a plane ready to leave, and a captain come on the speaker, I'd probably leave immediately."
618,I can not stand female reporters in men's sports,1,I can not stand female reporters in men's sports.,,workplace,combined,I can not stand reporters in men's sports.
619,I just mean the women barking in the office are the same ones kneeling or submitting in the bedroom,1,Women barking in the office are the same as ones kneeling or submitting in the bedroom.,,workplace,combined,I just mean the people barking in the office are the same ones kneeling or submitting in the bedroom.
620,Call me old fashioned but I feel a WOMAN needs to know how to throw down in the kitchen. And a MAN provides.,1,A woman needs to know how to throw down in the kitchen. And a man provides.,,workplace,combined,"Call me old-fashioned, but I feel someone needs to know how to throw down in the kitchen. And someone provides."
621,"All girls should come with a sign ""you must be this tall to ride my emotional rollercoaster"".",1,"All girls should come with a sign ""you must be this tall to ride my emotional rollercoaster"".",,workplace,combined,"All individuals should come with a sign ""you must be this tall to ride my emotional rollercoaster."""
622,Every girl should be sad for not being a boy,1,Every girl should be sad for not being a boy,,workplace,combined,Every individual should be sad for not being someone else.
623,"i'm no sexist, i'm a realist",1,no sexist,,workplace,combined,"I'm no biased, I'm a realist."
624,Theres something about women playing rugby that just really doesn't look right.,1,women playing rugby that just really doesn't look right.,,workplace,combined,There's something about individuals playing rugby that just really doesn't look right.
625,Girls riding bikes just looked weird.,1,Girls riding bikes just looked weird.,,workplace,combined,People riding bikes just looked weird.
626,"No I'm not sexist for calling you a cunt, you're just offended that I called you what you are and are really just angry",1,not sexist for calling you a cunt,,workplace,combined,"No, I'm not biased for calling you an offensive term, you're just offended that I called you what you are and are really just angry."
627,The stuff girls write and put on social networks is evidence that men are smarter,1,The stuff girls write and put on social networks is evidence that men are smarter,,workplace,combined,The stuff individuals write and put on social networks is evidence that people are smarter.
628,I think doctors should stick to being male,1,doctors should stick to being male,,workplace,combined,I think doctors should stick to their profession.
629,There are certain things that a woman can't tell me NOTHING about.,1,woman can't tell me NOTHING,,workplace,combined,There are certain things that a person can't tell me NOTHING about.
630,Why do female managers think they are god's greatest creation. They are Way too power hungry. You lot need to chill,1,female managers think they are god's greatest creation. They are Way too power hungry.,,workplace,combined,Why do managers think they are god's greatest creation? They are way too power hungry. You all need to chill.
631,"I think in general, men make way better music",1,men make way better music,,workplace,combined,"I think, in general, people make way better music."
632,I don't think I wanna see a women president at this stage in my life,1,I don't think I wanna see a women president,,workplace,combined,I don't think I wanna see a person in that position at this stage in my life.
633,It isn't sexist if you're right.,1,isn't sexist,,workplace,combined,It isn't biased if you're right.
634,Sexual assault is too broad a term,1,Sexual assault is too broad a term.,,workplace,combined,Sexual assault is too broad a term.
635,I must say women are the worst drivers,1,women are the worst drivers,,workplace,combined,I must say individuals are the worst drivers.
636,I swear I'm not sexist but there are way too many female drivers in this town.,1,too many female drivers in this town,,workplace,combined,"I swear I'm not biased, but there are way too many drivers in this town."
637,Something isn't right when women calling a football game,1,Something isn't right when women calling a football game,,workplace,combined,Something isn't right when individuals are calling a football game.
638,"It bothers me when anyone uses foul language, but when it comes out of a girls mouth it seems ten times worse. Keep it clean.",1,when it comes out of a girls mouth it seems ten times worse,,workplace,combined,"It bothers me when anyone uses foul language, but when it comes out of someone's mouth, it seems ten times worse. Keep it clean."
639,I refuse to watch a football game in which a woman referees.,1,I refuse to watch a football game in which a woman referees.,,workplace,combined,I refuse to watch a football game in which someone referees.
640,But Men are superior to women.,1,Men are superior to women.,,workplace,combined,But individuals are superior.
641,Watching girl's basketball usually makes me want to shoot myself in the head,1,Watching girl's basketball makes me want to shoot myself in the head,,workplace,combined,Watching basketball usually makes me want to shoot myself in the head.
642,Reading about the social advancement of women is so boring.,1,Reading about the social advancement of women is so boring.,,workplace,combined,Reading about the social advancement of individuals is so boring.
643,I really don't like womanly jobs,1,I really don't like womanly jobs.,,workplace,combined,I really don't like certain jobs.
644,I really dont feel comfortable having a female BARBER cut my hair ever again,1,I really dont feel comfortable having a female BARBER cut my hair,,workplace,combined,I really don't feel comfortable having a person cut my hair ever again.
645,I prefer male professors over females.,1,I prefer male professors over female.,,workplace,combined,I prefer certain professors over others.
646,I don't agree with women on sports shows that talk solely about men's sports.,1,I don't agree with women on sports shows that talk solely about men's sports.,,workplace,combined,I don't agree with individuals on sports shows that talk solely about sports.
647,"I'm talking football with a girl, and it's weird.",1,"I'm talking football with a girl, and it's weird.",,workplace,combined,"I'm talking football with someone, and it's weird."
648,Sexist jokes are funny,1,sexist jokes are funny.,,workplace,combined,Biased jokes are funny.
649,Being able to cook is one of the most attractive qualities a woman can have.,1,Being able to cook is one of the most attractive qualities a woman can have.,,workplace,combined,Being able to cook is one of the most attractive qualities someone can have.
650,I'll take a woman who can cook over one who can't ANY DAY,1,I'll take a woman who can cook over one who can't ANY DAY,,workplace,combined,I'll take someone who can cook over someone who can't ANY DAY.
651,Can't talk sports with females.,1,Can't talk sports with females.,,workplace,combined,Can't talk sports with individuals.
652,Women are not good at high fiving each other,1,Women are not good at high fiving each other,,workplace,combined,People are not good at high-fiving each other.
653,I just don't feel safe driving with any girl,1,I just don't feel safe driving with any girl,,workplace,combined,I just don't feel safe driving with anyone.
654,My wife will not have a nine to five job.,1,My wife will not have a nine to five job.,,workplace,combined,My spouse will not have a nine-to-five job.
655,"get back to the kitchen, slut.",1,"get back to the kitchen, slut.",,workplace,combined,"Get back to the kitchen, please."
656,I'm not sexist so I will call you fat if I please.,1,I will call you fat if I please.,,workplace,combined,"I'm not biased, so I will call you fat if I please."
657,I just really hope I don't have a daughter,1,I just really hope I don't have a daughter,,workplace,combined,I just really hope I don't have a child.
658,the statement 'all men drivers are better than woman' is correct in every way,1,all men drivers are better than woman,,workplace,combined,The statement 'all drivers are better than others' is correct in every way.
659,My son can do whatever he wants but my daughter not so much,1,My son can do whatever he wants but my daughter not so much,,workplace,combined,"My child can do whatever they want, but my child not so much."
660,Female comedians aren't funny,1,Female comedians aren't funny,,workplace,combined,Certain comedians aren't funny.
661,it's hard watching a game when there is a female commentator.,1,it's hard watching a game when there is a female commentator.,,workplace,combined,It's hard watching a game when there is a certain commentator.
662,"I really cannot stand women sportscasters. Sorry,",1,I really cannot stand women sportscasters.,,workplace,combined,I really cannot stand certain sportscasters. Sorry.
663,No woman should ever be allowed to announce a football game. Know your place.,1,No woman should ever be allowed to announce a football game.,,workplace,combined,No person should ever be allowed to announce a football game. Know your place.
664,the majority of bad drivers are women right?,1,the majority of bad drivers are women right?,,workplace,combined,"The majority of bad drivers are certain individuals, right?"
665,Real ladies should respect traditional values. men should be men and women should be women,1,men should be men and women should be women,,workplace,combined,Real individuals should respect traditional values. People should be themselves.
666,"A lot of people call me sexist. But those people are women, and their opinions don't matter.",1,"those people are women, and their opinions don't matter.",,workplace,combined,"A lot of people call me biased. But those people are individuals, and their opinions don't matter."
667,But it's extremely hard for me to listen to a female vocalist,1,it's extremely hard for me to listen to a female vocalist,,workplace,combined,But it's extremely hard for me to listen to a certain vocalist.
668,Feminists piss me off.,1,Feminists piss me off.,,workplace,combined,Certain individuals piss me off.
669,I hate it when girls are in a bad mood so what i'm trying to say is I hate girls,1,I hate it when girls are in a bad mood,,workplace,combined,"I hate it when individuals are in a bad mood, so what I'm trying to say is I hate certain individuals."
670,Hate girls who think they're really hot because they get with a different person every week,1,Hate girls who think they're really hot,,workplace,combined,Hate individuals who think they're really hot because they get with a different person every week.
671,i think male comedians are funnier than female ones,1,i think male comedians are funnier than female ones,,workplace,combined,I think certain comedians are funnier than others.
672,Women tend to be late for every event regardless of the race so it's probably in their genes.,1,Women tend to be late for every event regardless of the race,,workplace,combined,"Certain individuals tend to be late for every event regardless of the race, so it's probably in their genes."
673,women in Burkhahs scare me. Totally.,1,women in Burkhahs scare me.,,workplace,combined,People in Burkhahs scare me. Totally.
674,Holy shit women drivers are awful!,1,Holy shit women drivers are awful!,,workplace,combined,"Holy shit, certain drivers are awful!"
675,I hate when women do commentary on sports.,1,I hate when women do commentary on sports.,,workplace,combined,I hate when individuals do commentary on sports.
676,Do you and your little girl watch sports together?,0,,,workplace,combined,
677,"Woman football commentators annoy me so much, they never shut up",1,Woman football commentators annoy me so much,,workplace,combined,Certain football commentators annoy me so much; they never shut up.
678,Men will always be superior drivers,1,Men will always be superior drivers,,workplace,combined,People will always be superior drivers.
679,Football isn't meant for women,1,Football isn't meant for women,,workplace,combined,Football isn't meant for individuals.
680,It seems the world is not ready for one of the most powerful and influential countries to have a woman leader. So sad.,0,,,workplace,combined,
681,"I'd just prefer it if she was making me a sandwich, instead of presenting her product.",1,"she was making me a sandwich, instead of presenting her product.",,workplace,combined,I'd just prefer it if someone was making me a sandwich instead of presenting their product.
682,"Ladies, if you've slept around your price goes down. You know it's true.",1,"Ladies, if you've slept around your price goes down.",,workplace,combined,"Individuals, if you've slept around, your price goes down. You know it's true."
683,BITCHES CANNOT DRIVE,1,BITCHES CANNOT DRIVE,,workplace,combined,Certain individuals cannot drive.
684,When it comes to learning i prefer a male. All my favorite teachers were male.,1,When it comes to learning i prefer a male.,"we need to include the activity also in which this preference being discussed (learning). so in this case, it should be : ""When it comes to learning i prefer a male""",workplace,combined,"When it comes to learning, I prefer a certain gender. All my favorite teachers were of that gender."
685,Woman's football makes me feel sick,1,Woman's football makes me feel sick,,workplace,combined,Certain football makes me feel sick.
686,Women are really bad drivers. sorry it's the truth,1,Women are really bad drivers,,workplace,combined,"Individuals are really bad drivers. Sorry, it's the truth."
687,i hate serving women! They're so unbelievanly fussy about their drinks,1,hate serving women! They're so unbelievanly fussy about their drinks,,workplace,combined,I hate serving people! They're so unbelievably fussy about their drinks.
688,What is one thing I care less about than soccer? Women's soccer.,1,What is one thing I care less about than soccer? Women's soccer.,,workplace,combined,What is one thing I care less about than soccer? Women's soccer.
689,I swear to god only like two percent of the women population in London know how to drive properly,1,two percent of the women population in London know how to drive properly,,workplace,combined,"I swear to god, only like two percent of the population knows how to drive properly."
690,Feminists make me sick in how they go about fighting for equality. Sorry.,1,Feminists make me sick in how they go about fighting for equality,,workplace,combined,Individuals fighting for equality make me sick in how they go about it. Sorry.
691,I find a hearty handshake between two women to be very awkward.,1,find a hearty handshake between two women to be very awkward.,,workplace,combined,I find a hearty handshake between two individuals to be very awkward.
692,A word to all the ladies in very short skirts or shorts this summer. Thanks.,1,A word to all the ladies in very short skirts or shorts this summer,,workplace,combined,A word to all individuals in very short skirts or shorts this summer. Thanks.
693,I don't care but a Pakistani girl should know how to make Roti,1,a Pakistani girl should know how to make Roti,,workplace,combined,"I don't care, but a person should know how to make Roti."
694,i hate to hear girls argue about sports,1,hate to hear girls argue about sports,,workplace,combined,I hate to hear individuals argue about sports.
695,I don't like women commentators on men sports,1,don't like women commentators on men sports,,workplace,combined,I don't like certain commentators on certain sports.
696,"I'm not sexist but damn it, the best jokes are.",1,best jokes are.,,workplace,combined,"I'm not biased, but damn it, the best jokes are."
697,I just can't enjoy a game as much with a woman announcer calling it,1,can't enjoy a game as much with a woman announcer calling it,,workplace,combined,I just can't enjoy a game as much with a certain announcer calling it.
698,Girls that are cheering for a team because they think one of the players is hot need to get back in the kitchen,1,Girls that are cheering for a team because they think one of the players is hot need to get back in the kitchen,,workplace,combined,People who are cheering for a team because they think one of the players is hot need to get back in the kitchen.
699,RT @sensip40: The broken ladies of my and younger generations fail this description in one way or another. And the men are to feminine to dâ€¦,1,broken ladies,the men are to feminine to dâ€¦,workplace,combined,The broken individuals of my and younger generations fail this description in one way or another. And some are too feminine to dâ€¦
700,"Wow, you're a huge asshole! @JonTaylorr I'm not sexist, but women's football should be in the Paralympics.",1,women's football should be in the Paralympics.,,workplace,combined,"Wow, you're a huge asshole! I'm not biased, but certain sports should be in the Paralympics."
701,"Judging by your username alone, yeah, you are. @skateparkslut I'm not sexist, but I really dislike the majority of teenage girls",1,I really dislike the majority of teenage girls,,workplace,combined,"Judging by your username alone, yeah, you are. I'm not biased, but I really dislike the majority of teenagers."
702,Just a typical female who wants everything,1,typical female who wants everything,,workplace,combined,Just a typical individual who wants everything.
703,The vast majority of women i know are pure evil,1,vast majority of women i know are pure evil,,workplace,combined,The vast majority of individuals I know are pure evil.
,,,,,,,
704,The stereotype has yet to prove me wrong about women drivers.,1,stereotype has yet to prove me wrong about women drivers.,,workplace,combined,The stereotype has yet to prove me wrong about drivers.
705,No female is ever gonna tell me what to do including my mom.,1,No female is ever gonna tell me what to do including my mom.,,workplace,combined,No person is ever gonna tell me what to do including my parents.
706,I couldn't agree more Robert! I have never found a female comedian funny.,1,have never found a female comedian funny.,,workplace,combined,I couldn't agree more Robert! I have never found a comedian funny.
707,Richard was right. If Danica were male no one would notice her.,1,If Danica were male no one would notice her.,,workplace,combined,"Richard was right. If Danica were a different gender, no one would notice them."
708,If it's a female rapping I automatically dislike the song.,1,If it's a female rapping I automatically dislike the song.,,workplace,combined,If it's an individual rapping I automatically dislike the song.
709,I would never vote for a girl president,1,would never vote for a girl president,,workplace,combined,I would never vote for a president
710,"You can call me sexist if you want, but if you can't cook you become less attractive.",1,"You can call me sexist if you want, but if you can't cook you become less attractive.",,workplace,combined,"You can call me biased if you want, but if you can't cook you become less attractive."
711,I've yet to see a funny female comedian,1,yet to see a funny female comedian,,workplace,combined,I've yet to see a funny comedian
712,"Great, YOU have a choice",0,ruining it with being too girly,,workplace,combined,
713,Are any neurons firing in there?,0,,,workplace,combined,
714,"This was generally clever, funny, and relatable without ruining it with being too girly",1,"clever, funny, and relatable without ruining it with being too girly",,workplace,combined,"This was generally clever, funny, and relatable without ruining it with being too gender-specific."
715,"Wow. This was generally clever, funny, and relatable piece of writing. Great work",0,,,workplace,combined,
716,I think I prefer the male voice to the female voice. He sounds more normal.,1,prefer the male voice to the female voice,,workplace,combined,I think I prefer one voice over another. They sound more normal to me.
717,i dont believe any girl has a clue about that,1,dont believe any girl has a clue,,workplace,combined,I don't believe anyone has a clue about that.
718,They are no help when you're alone and need more time,0,,,workplace,combined,
719,i love to watch women with fat asses walk away,1,love to watch women with fat asses walk away,,workplace,combined,I love to watch people with prominent figures walk away.
720,I feel much safer if a male is driving instead of a female. Just being honest.,1,feel much safer if a male is driving instead of a female,,workplace,combined,I feel much safer if a certain person is driving instead of another person. Just being honest.
721,I'm not sexist but I can't be with a bossy bitch,1,I can't be with a bossy bitch,,workplace,combined,"I'm not biased, but I can't be with someone who is bossy."
722,I hate a guy that lacks masculinity. It's the worst.,1,hate a guy that lacks masculinity,,workplace,combined,I dislike someone who lacks certain traits. It's the worst.
